"PANTONE P Process Cyan C","process-cyan","#00a0e1"
"PANTONE P 31-8 C","31-8","#c05c25"
"PANTONE P 31-9 C","31-9","#d2986b"
"PANTONE P 31-10 C","31-10","#cd8e5f"
"PANTONE P 31-11 C","31-11","#c98352"
"PANTONE P 31-12 C","31-12","#c47946"
"PANTONE P 31-13 C","31-13","#bf723e"
"PANTONE P 31-14 C","31-14","#ba6935"
"PANTONE P 31-15 C","31-15","#b55f2e"
"PANTONE P 31-16 C","31-16","#ae5525"
"PANTONE P 32-1 C","32-1","#e4c8b2"
"PANTONE P 32-2 C","32-2","#dbb598"
"PANTONE P 32-3 C","32-3","#d0a17f"
"PANTONE P 32-4 C","32-4","#c59068"
"PANTONE P 32-5 C","32-5","#bc8054"
"PANTONE P 32-6 C","32-6","#b16f42"
"PANTONE P 32-7 C","32-7","#a66033"
"PANTONE P 32-8 C","32-8","#974d25"
"PANTONE P 32-9 C","32-9","#cda586"
"PANTONE P 32-10 C","32-10","#c29674"
"PANTONE P 32-11 C","32-11","#ba8964"
"PANTONE P 32-12 C","32-12","#b17c55"
"PANTONE P 32-13 C","32-13","#a76e45"
"PANTONE P 32-14 C","32-14","#9b6039"
"PANTONE P 32-15 C","32-15","#8d512d"
"PANTONE P 32-16 C","32-16","#814524"
"PANTONE P 33-1 C","33-1","#dfcfc5"
"PANTONE P 33-2 C","33-2","#d8c3b6"
"PANTONE P 33-3 C","33-3","#d0b6a6"
"PANTONE P 33-4 C","33-4","#c8aa98"
"PANTONE P 33-5 C","33-5","#bf9e8a"
"PANTONE P 33-6 C","33-6","#b7937c"
"PANTONE P 33-7 C","33-7","#b18870"
"PANTONE P 33-8 C","33-8","#ab7f67"
"PANTONE P 33-9 C","33-9","#a27962"
"PANTONE P 33-10 C","33-10","#99725e"
"PANTONE P 33-11 C","33-11","#906c59"
"PANTONE P 33-12 C","33-12","#896755"
"PANTONE P 33-13 C","33-13","#806150"
"PANTONE P 33-14 C","33-14","#75594b"
"PANTONE P 33-15 C","33-15","#6a5245"
"PANTONE P 33-16 C","33-16","#604b40"
"PANTONE P 34-1 C","34-1","#fcdcc6"
"PANTONE P 34-2 C","34-2","#fbceb0"
"PANTONE P 34-3 C","34-3","#f9be98"
"PANTONE P 34-4 C","34-4","#f6ac7d"
"PANTONE P 34-5 C","34-5","#f49b66"
"PANTONE P 34-6 C","34-6","#f28a53"
"PANTONE P 34-7 C","34-7","#ef783f"
"PANTONE P 34-8 C","34-8","#eb5f29"
"PANTONE P 34-9 C","34-9","#f3c7a9"
"PANTONE P 34-10 C","34-10","#eeb895"
"PANTONE P 34-11 C","34-11","#eaa97f"
